job_type,cpu_required,memory_required_gb,estimated_runtime_minutes,priority,current_node_load,available_cpu_cores,available_memory_gb,recommended_node
ML Training,9,32,162,High,13,28,122,Node-088
Simulation,9,56,317,High,32,61,256,Node-089
ML Training,19,72,556,Critical,34,57,256,Node-090
Simulation,23,75,627,High,60,20,86,Node-091
Data Processing,29,103,864,High,76,60,241,Node-092
ML Training,5,12,209,Low,34,24,102,Node-093
Simulation,21,66,474,High,82,57,207,Node-094
Data Processing,29,90,819,Medium,15,27,110,Node-095
Simulation,15,65,465,Medium,38,61,242,Node-096
ML Training,13,52,369,High,24,61,256,Node-097
ETL,24,78,525,Medium,71,33,153,Node-098
ML Training,21,63,418,Low,31,39,144,Node-099
Analytics,20,78,591,Medium,30,31,161,Node-100
Analytics,5,7,318,High,41,51,235,Node-001
Analytics,24,89,640,High,12,39,173,Node-002
Analytics,22,87,472,High,69,60,252,Node-003
Simulation,4,39,49,Critical,8,43,131,Node-004
ML Training,15,52,367,Critical,12,27,132,Node-005
Simulation,1,4,82,Low,29,24,116,Node-006
ML Training,31,92,539,High,72,38,187,Node-007
Analytics,24,90,810,Medium,77,26,113,Node-008
Analytics,6,23,258,Medium,59,47,199,Node-009
Analytics,13,56,507,High,72,25,143,Node-010
Simulation,23,60,711,High,78,39,153,Node-011
Analytics,23,55,593,Medium,72,19,77,Node-012
ML Training,15,55,507,Medium,8,52,236,Node-013
Analytics,29,92,741,Medium,81,53,195,Node-014
ETL,31,95,614,Medium,82,61,256,Node-015
Analytics,16,42,612,High,51,18,104,Node-016
Analytics,18,54,454,High,66,26,156,Node-017
Simulation,21,65,492,Medium,30,32,145,Node-018
Data Processing,17,59,303,Critical,26,38,176,Node-019
Data Processing,3,15,194,Medium,46,33,154,Node-020
ML Training,26,99,766,Medium,37,47,170,Node-021
Data Processing,31,87,762,Medium,34,61,256,Node-022
Analytics,11,55,258,Low,32,50,223,Node-023
ML Training,28,101,722,Critical,18,32,142,Node-024
Analytics,25,95,544,Medium,15,11,77,Node-025
Simulation,21,70,694,Medium,37,61,253,Node-026
Data Processing,5,23,380,Medium,70,23,112,Node-027
ML Training,22,70,664,High,19,64,256,Node-028
Data Processing,1,2,10,Medium,82,25,96,Node-029
Simulation,7,25,46,Medium,39,46,213,Node-030
Analytics,2,17,206,Medium,71,30,146,Node-031
Data Processing,8,45,305,Low,48,18,90,Node-032
Analytics,1,2,10,Medium,52,63,256,Node-033
Data Processing,13,42,135,Medium,34,41,176,Node-034
ML Training,16,42,610,High,16,8,25,Node-035
Data Processing,11,31,364,Low,60,27,133,Node-036
Simulation,14,60,374,High,26,59,256,Node-037
Analytics,11,23,280,Low,35,62,256,Node-038
ML Training,22,70,521,Low,87,16,65,Node-039
Analytics,5,29,306,High,41,63,256,Node-040
Simulation,31,79,606,High,35,54,232,Node-041
ML Training,27,95,638,Low,75,33,153,Node-042
Data Processing,21,66,526,Low,46,61,256,Node-043
Data Processing,1,24,45,High,76,36,143,Node-044
Analytics,28,91,686,Medium,26,19,118,Node-045
Analytics,13,43,518,Medium,16,56,231,Node-046
Analytics,4,10,253,High,69,40,182,Node-047
Simulation,4,31,147,Low,60,62,256,Node-048
Data Processing,10,26,260,High,65,30,110,Node-049
Simulation,23,88,447,Low,75,32,157,Node-050
Simulation,24,101,444,Medium,81,51,249,Node-051
Analytics,5,36,367,Medium,60,49,211,Node-052
ML Training,11,30,315,Medium,9,12,92,Node-053
Analytics,19,75,655,Medium,37,51,233,Node-054
ML Training,12,53,424,Medium,92,33,112,Node-055
Data Processing,2,2,195,High,64,53,236,Node-056
ETL,13,41,348,Low,89,45,210,Node-057
Data Processing,4,18,30,Medium,19,30,102,Node-058
ML Training,24,89,644,Medium,35,60,256,Node-059
ML Training,13,65,423,Low,80,16,93,Node-060
Data Processing,31,93,609,Medium,30,57,244,Node-061
Data Processing,20,75,406,Medium,45,10,52,Node-062
Data Processing,27,82,639,Critical,66,13,77,Node-063
Data Processing,14,43,390,High,68,13,56,Node-064
Analytics,29,85,926,Medium,68,36,136,Node-065
Data Processing,20,59,496,Critical,24,10,34,Node-066
Data Processing,29,103,712,Critical,66,28,132,Node-067
Data Processing,6,20,186,Medium,50,16,99,Node-068
ML Training,26,85,717,High,66,53,222,Node-069
Data Processing,17,68,391,High,30,59,256,Node-070
Analytics,21,94,586,Medium,22,58,256,Node-071
Analytics,27,77,791,Medium,74,53,218,Node-072
ETL,8,30,337,High,46,30,165,Node-073
ML Training,15,43,336,Medium,47,21,103,Node-074
Simulation,25,71,648,Medium,12,59,239,Node-075
Analytics,6,5,171,Low,24,63,256,Node-076
Analytics,32,87,783,Medium,41,19,84,Node-077
ETL,31,122,813,High,47,53,230,Node-078
ETL,12,50,265,Medium,63,32,132,Node-079
ETL,6,28,104,High,23,19,84,Node-080
Simulation,19,68,576,High,60,43,206,Node-081
Data Processing,6,26,106,Medium,60,26,113,Node-082
Simulation,6,12,384,Critical,43,47,188,Node-083
Data Processing,11,45,142,Medium,75,55,236,Node-084
Analytics,27,100,677,Medium,25,33,159,Node-085
Data Processing,31,105,619,Medium,55,64,256,Node-086
Analytics,14,57,542,High,71,63,256,Node-087
ETL,17,71,668,Critical,53,45,217,Node-088
ETL,22,63,690,High,27,52,236,Node-089
ETL,8,39,72,Medium,13,14,101,Node-090
Data Processing,26,84,663,Low,90,26,103,Node-091
Simulation,4,7,199,Medium,16,51,217,Node-092
ML Training,32,121,850,Critical,22,59,241,Node-093
ML Training,11,36,86,High,93,52,220,Node-094
Analytics,2,7,265,Medium,44,48,207,Node-095
Analytics,16,47,494,Medium,39,64,255,Node-096
Simulation,6,30,455,Medium,17,39,187,Node-097
Analytics,17,67,327,High,30,35,172,Node-098
Data Processing,16,78,485,High,30,25,110,Node-099
ML Training,2,13,352,Low,89,23,135,Node-100
Data Processing,8,32,197,Medium,20,42,167,Node-001
Data Processing,8,40,371,Low,77,37,161,Node-002
ML Training,16,43,404,Critical,84,60,240,Node-003
Analytics,24,73,704,Medium,29,17,63,Node-004
Data Processing,16,39,470,High,48,20,60,Node-005
ML Training,9,24,191,Low,28,25,79,Node-006
Data Processing,29,110,608,Medium,5,57,245,Node-007
ETL,24,68,551,Low,42,10,47,Node-008
Data Processing,13,42,327,Critical,76,15,102,Node-009
ML Training,32,103,876,High,88,32,152,Node-010
Data Processing,26,68,643,High,23,16,91,Node-011
Analytics,23,74,718,Medium,14,37,176,Node-012
ETL,11,54,328,Medium,37,55,251,Node-013
ML Training,11,35,265,Medium,26,16,68,Node-014
Analytics,4,25,324,Medium,61,32,131,Node-015
ETL,5,10,265,Low,29,55,248,Node-016
Analytics,23,78,621,High,56,51,195,Node-017
ML Training,1,14,10,Critical,12,15,82,Node-018
Data Processing,12,58,274,Medium,24,35,148,Node-019
ML Training,7,20,212,High,32,29,124,Node-020
Simulation,19,75,451,Critical,44,55,232,Node-021
ETL,31,108,620,Critical,92,51,221,Node-022
Data Processing,8,28,242,Low,9,54,199,Node-023
ML Training,4,16,202,Low,13,64,256,Node-024
Data Processing,18,65,372,Medium,70,36,173,Node-025
Data Processing,1,14,131,Medium,24,42,220,Node-026
ETL,28,95,684,Medium,43,46,204,Node-027
Simulation,30,93,706,Medium,16,44,226,Node-028
Data Processing,16,60,570,Low,42,60,249,Node-029
Data Processing,3,15,83,Medium,43,43,181,Node-030
ETL,16,54,432,Medium,67,14,105,Node-031
Data Processing,15,49,417,Low,73,60,256,Node-032
Data Processing,3,6,126,High,61,44,182,Node-033
Analytics,29,87,923,Critical,87,11,106,Node-034
Data Processing,14,55,370,High,30,64,256,Node-035
ML Training,4,28,312,High,46,49,195,Node-036
Data Processing,9,48,360,Medium,61,28,159,Node-037
Simulation,18,62,363,Medium,17,11,75,Node-038
Analytics,30,89,917,Low,24,14,69,Node-039
Data Processing,32,91,870,Critical,60,19,95,Node-040
Data Processing,17,56,543,High,63,58,240,Node-041
ETL,2,32,120,Medium,34,62,256,Node-042
Simulation,31,119,809,Medium,13,8,57,Node-043
ML Training,22,70,576,High,58,52,188,Node-044
Data Processing,30,99,821,Medium,58,19,82,Node-045
Simulation,15,62,288,Low,63,36,181,Node-046
ETL,2,24,128,High,41,15,102,Node-047
ETL,8,40,94,High,14,20,89,Node-048
ML Training,5,2,209,High,89,51,217,Node-049
ETL,32,104,697,Medium,64,28,120,Node-050
Simulation,10,38,344,High,67,57,247,Node-051
Data Processing,13,36,152,Medium,78,45,180,Node-052
Data Processing,13,47,372,Medium,17,11,66,Node-053
ML Training,26,84,798,Critical,76,8,62,Node-054
ML Training,14,50,401,Medium,64,61,256,Node-055
ETL,29,99,639,Medium,76,64,256,Node-056
Analytics,7,21,203,Medium,55,10,56,Node-057
Data Processing,31,110,642,High,45,27,125,Node-058
ETL,12,36,490,Low,33,39,190,Node-059
Data Processing,13,26,122,Low,53,45,169,Node-060
ML Training,29,88,868,High,89,9,60,Node-061
ML Training,14,54,627,High,29,13,37,Node-062
Simulation,17,75,485,Medium,18,52,236,Node-063
Data Processing,17,61,623,High,32,36,161,Node-064
Analytics,7,25,191,Medium,53,41,171,Node-065
ML Training,7,14,407,High,8,58,215,Node-066
Data Processing,9,38,127,Critical,30,31,176,Node-067
Data Processing,12,38,506,Critical,21,59,220,Node-068
Analytics,10,32,123,Low,20,49,214,Node-069
Analytics,25,79,598,High,82,25,130,Node-070
Simulation,1,2,58,High,54,38,176,Node-071
Analytics,19,68,396,Medium,44,9,45,Node-072
Data Processing,8,45,293,Medium,82,55,228,Node-073
ETL,29,102,611,Medium,36,20,83,Node-074
ML Training,21,60,512,High,16,38,180,Node-075
ML Training,27,86,513,High,31,47,233,Node-076
Analytics,16,59,521,Medium,84,32,146,Node-077
Data Processing,2,13,187,Medium,11,54,230,Node-078
Analytics,12,44,400,High,61,12,31,Node-079
Analytics,27,103,674,Medium,35,13,73,Node-080
Data Processing,27,93,528,Medium,57,8,74,Node-081
Simulation,1,2,92,High,57,34,136,Node-082
Simulation,18,44,511,Medium,66,16,82,Node-083
ETL,9,36,109,High,73,22,83,Node-084
ETL,19,70,492,High,6,43,203,Node-085
ML Training,6,17,353,High,32,43,200,Node-086
Data Processing,8,32,172,Low,52,12,58,Node-087
Simulation,27,88,805,Medium,12,56,210,Node-088
ML Training,29,95,717,High,47,41,167,Node-089
Data Processing,4,13,192,Medium,52,45,191,Node-090
Simulation,23,77,499,Critical,50,37,149,Node-091
Analytics,25,105,522,Low,64,37,167,Node-092
Data Processing,27,95,828,Medium,43,62,256,Node-093
ML Training,8,44,238,Low,22,47,208,Node-094
Data Processing,13,56,135,Low,87,13,69,Node-095
Analytics,11,55,287,High,82,35,168,Node-096
ML Training,13,61,341,Medium,38,35,173,Node-097
Data Processing,6,19,295,Medium,23,58,238,Node-098
Analytics,14,43,421,High,22,44,190,Node-099
Simulation,4,2,287,Medium,33,62,256,Node-100
Simulation,13,52,431,Low,26,62,256,Node-001
ML Training,23,62,585,High,85,12,93,Node-002
Simulation,7,19,328,Medium,15,57,239,Node-003
ETL,27,82,737,Medium,53,59,233,Node-004
Analytics,26,85,653,Critical,92,61,253,Node-005
ML Training,8,25,308,High,51,29,103,Node-006
ETL,2,2,211,Critical,25,33,170,Node-007
ETL,24,85,692,High,62,54,241,Node-008
Data Processing,3,30,230,Critical,33,63,256,Node-009
Data Processing,20,70,427,High,74,34,139,Node-010
Analytics,15,60,440,Medium,56,53,225,Node-011
Data Processing,3,11,202,Medium,24,45,207,Node-012
Data Processing,12,56,362,Medium,37,58,256,Node-013
Data Processing,28,103,793,Medium,27,60,230,Node-014
ETL,25,86,620,High,21,9,23,Node-015
Simulation,19,68,515,High,81,12,84,Node-016
ML Training,28,102,660,Medium,92,13,79,Node-017
ML Training,16,54,568,High,87,57,230,Node-018
ML Training,7,32,338,High,78,26,156,Node-019
ML Training,7,19,376,Low,29,41,185,Node-020
ETL,28,81,749,Medium,72,21,104,Node-021
ML Training,13,59,357,Critical,54,17,63,Node-022
ML Training,3,21,64,High,23,14,78,Node-023
Simulation,21,80,489,Low,22,29,138,Node-024
Data Processing,4,9,250,Medium,83,61,245,Node-025
Simulation,13,36,518,Medium,31,19,48,Node-026
ML Training,31,96,731,High,39,56,197,Node-027
Data Processing,13,40,487,Medium,76,17,74,Node-028
ML Training,3,29,318,Critical,92,61,256,Node-029
ML Training,2,10,22,High,32,21,100,Node-030
Data Processing,11,51,342,Critical,64,44,192,Node-031
Data Processing,30,96,763,Low,15,61,256,Node-032
ML Training,31,97,638,High,87,25,111,Node-033
Simulation,3,32,268,Low,83,8,62,Node-034
Analytics,13,31,477,Low,42,39,163,Node-035
Data Processing,21,64,487,Medium,80,59,248,Node-036
ETL,10,17,451,High,29,62,256,Node-037
ETL,19,76,584,Medium,18,29,129,Node-038
Data Processing,4,17,10,Medium,39,28,88,Node-039
Analytics,10,56,256,Medium,42,13,79,Node-040
ML Training,4,18,266,High,44,17,46,Node-041
ETL,30,104,630,Low,40,54,212,Node-042
Data Processing,10,40,255,Critical,38,50,192,Node-043
Analytics,9,25,283,High,75,31,121,Node-044
Analytics,20,60,514,High,51,12,117,Node-045
Data Processing,25,80,630,High,37,38,133,Node-046
Simulation,5,2,184,Medium,73,24,110,Node-047
Analytics,12,54,362,Low,30,61,241,Node-048
ETL,25,67,673,Medium,73,32,109,Node-049
ETL,10,38,399,Low,65,42,196,Node-050
Simulation,10,40,210,High,85,17,95,Node-051
ETL,28,92,744,Low,40,29,131,Node-052
ETL,27,109,806,Low,24,18,112,Node-053
ETL,3,16,10,Critical,84,60,256,Node-054
Data Processing,11,37,286,High,53,43,154,Node-055
ETL,32,92,812,Medium,52,39,172,Node-056
Simulation,16,48,572,High,88,21,118,Node-057
Analytics,4,21,137,High,56,24,114,Node-058
Data Processing,24,86,447,Medium,46,8,72,Node-059
Analytics,19,54,417,High,54,33,173,Node-060
Analytics,28,101,625,Low,30,28,131,Node-061
Simulation,29,116,658,High,74,59,245,Node-062
Data Processing,12,49,375,Low,68,25,115,Node-063
ML Training,28,87,731,Low,41,59,237,Node-064
Analytics,29,96,611,Low,23,33,78,Node-065
ML Training,20,50,636,Medium,11,32,145,Node-066
Analytics,15,50,606,High,88,12,74,Node-067
Simulation,25,90,588,High,76,18,65,Node-068
ML Training,22,64,526,High,18,56,254,Node-069
Data Processing,7,27,92,Medium,60,36,142,Node-070
Analytics,11,55,354,High,68,22,120,Node-071
Data Processing,10,41,190,High,68,37,188,Node-072
Simulation,18,63,492,Medium,11,57,217,Node-073
Analytics,14,50,634,Critical,49,24,114,Node-074
ML Training,13,79,543,Low,26,14,115,Node-075
Simulation,3,7,315,High,7,26,139,Node-076
ML Training,6,26,228,Low,5,28,138,Node-077
Data Processing,1,7,208,High,67,21,77,Node-078
Simulation,15,55,561,High,60,8,57,Node-079
Data Processing,14,46,610,Medium,54,32,107,Node-080
Analytics,21,72,721,Critical,46,32,184,Node-081
Data Processing,12,48,346,High,36,35,160,Node-082
Data Processing,26,93,813,High,71,24,124,Node-083
Simulation,21,77,731,Medium,38,25,120,Node-084
Simulation,11,39,398,High,74,57,253,Node-085
Data Processing,18,63,453,High,56,60,256,Node-086
Simulation,18,65,364,Critical,88,57,249,Node-087
Analytics,13,43,503,Low,33,35,174,Node-088
ML Training,2,8,97,Low,24,55,205,Node-089
ETL,17,64,463,High,66,8,23,Node-090
Data Processing,32,90,819,High,8,51,212,Node-091
Analytics,5,33,176,Medium,46,39,176,Node-092
Analytics,6,7,267,Medium,76,55,248,Node-093
Analytics,11,24,289,Medium,8,32,118,Node-094
Simulation,8,52,336,Low,87,41,189,Node-095
Analytics,22,85,542,Medium,36,13,64,Node-096
Simulation,12,37,374,Medium,52,38,164,Node-097
ML Training,27,85,598,Critical,23,48,250,Node-098
Data Processing,14,54,261,Low,94,52,207,Node-099
Data Processing,17,62,366,Critical,49,48,215,Node-100
Simulation,1,6,204,Medium,12,34,154,Node-001
Data Processing,11,45,296,Critical,29,35,125,Node-002
ML Training,5,22,200,Medium,27,43,170,Node-003
Data Processing,22,67,545,Critical,40,39,180,Node-004
Analytics,27,65,518,Medium,74,49,201,Node-005
Analytics,5,26,274,Medium,15,19,98,Node-006
ETL,8,26,293,Low,86,61,236,Node-007
ML Training,1,2,97,Medium,35,8,46,Node-008
Simulation,21,63,479,High,61,14,57,Node-009
Data Processing,14,40,504,Medium,89,52,233,Node-010
Data Processing,11,36,172,Low,90,19,87,Node-011
ML Training,23,72,544,Critical,11,21,95,Node-012
ML Training,7,12,395,Low,50,52,228,Node-013
Analytics,11,44,374,Low,50,12,74,Node-014
Data Processing,18,69,508,Low,85,22,98,Node-015
ML Training,1,12,235,High,11,23,97,Node-016
Analytics,1,4,223,Low,61,54,189,Node-017
ML Training,18,59,368,Medium,61,12,64,Node-018
Simulation,5,28,254,Low,13,36,150,Node-019
Analytics,11,45,366,Medium,61,52,241,Node-020
Simulation,3,9,89,High,91,43,199,Node-021
Analytics,25,90,658,High,29,14,74,Node-022
ETL,3,11,118,Medium,7,36,178,Node-023
Analytics,16,53,335,Low,52,32,129,Node-024
Data Processing,11,39,301,Medium,33,16,56,Node-025
ML Training,21,75,509,Medium,29,25,129,Node-026
ML Training,5,33,343,Low,13,9,75,Node-027
Data Processing,19,75,433,Critical,26,48,192,Node-028
ETL,10,24,303,Medium,36,48,163,Node-029
Data Processing,20,62,596,Low,68,45,170,Node-030
Data Processing,1,20,198,Medium,57,58,256,Node-031
Simulation,4,38,250,Low,91,57,232,Node-032
ML Training,1,2,101,Medium,68,60,256,Node-033
Analytics,4,21,204,Low,45,41,202,Node-034
Analytics,30,101,887,Medium,30,21,76,Node-035
Analytics,29,103,825,High,36,33,136,Node-036
Data Processing,21,88,627,Medium,52,35,165,Node-037
ML Training,16,55,465,Low,48,34,163,Node-038
Analytics,32,91,786,High,35,53,244,Node-039
Analytics,4,27,229,High,53,47,175,Node-040
Data Processing,7,15,176,Medium,85,31,154,Node-041
Data Processing,14,42,338,Medium,65,40,173,Node-042
Data Processing,4,21,308,High,72,55,194,Node-043
ML Training,27,96,474,High,26,19,111,Node-044
ML Training,29,93,783,High,85,42,160,Node-045
Simulation,10,42,327,Medium,57,38,187,Node-046
ML Training,31,105,603,Critical,56,18,107,Node-047
Analytics,10,41,433,Critical,28,49,186,Node-048
Simulation,23,73,631,High,82,29,110,Node-049
Data Processing,23,80,597,Medium,55,56,245,Node-050
ML Training,5,2,199,High,57,20,99,Node-051
Simulation,24,63,478,High,26,50,240,Node-052
Data Processing,29,98,629,Low,42,61,256,Node-053
Data Processing,3,2,71,Medium,33,40,177,Node-054
Data Processing,28,88,606,Critical,54,25,111,Node-055
ETL,8,40,346,Medium,73,53,228,Node-056
Simulation,25,86,443,High,66,26,139,Node-057
ETL,28,95,661,Medium,54,21,92,Node-058
Analytics,30,92,816,Medium,37,36,173,Node-059
Data Processing,8,42,194,Medium,75,33,152,Node-060
Simulation,27,92,644,High,57,41,162,Node-061
ETL,10,42,308,High,58,36,161,Node-062
ML Training,26,89,651,Low,88,43,186,Node-063
Analytics,1,11,136,Critical,80,48,203,Node-064
Data Processing,6,31,329,Medium,70,46,200,Node-065
Analytics,5,13,32,High,41,44,210,Node-066
Analytics,20,60,547,Medium,87,61,256,Node-067
Analytics,25,89,451,High,78,64,256,Node-068
Simulation,22,80,590,High,77,47,227,Node-069
Simulation,24,76,614,Critical,26,21,109,Node-070
Simulation,20,58,467,Critical,65,49,223,Node-071
Data Processing,30,96,775,Critical,63,24,108,Node-072
Data Processing,14,36,499,Critical,36,48,219,Node-073
Simulation,4,18,83,High,39,15,71,Node-074
ML Training,9,24,124,High,30,12,69,Node-075
ETL,2,17,83,High,14,57,222,Node-076
ETL,31,111,815,Medium,61,45,186,Node-077
Data Processing,16,62,325,Medium,45,57,256,Node-078
Data Processing,31,102,709,Medium,75,33,162,Node-079
ML Training,21,56,478,High,74,31,159,Node-080
ML Training,30,95,561,Medium,91,8,42,Node-081
Data Processing,24,78,499,Critical,60,60,214,Node-082
Simulation,14,47,251,Low,89,22,78,Node-083
Analytics,1,16,212,Low,86,53,211,Node-084
Data Processing,5,25,336,High,37,62,256,Node-085
ML Training,14,55,414,Medium,39,53,217,Node-086
ML Training,16,43,495,Medium,71,40,164,Node-087
Analytics,1,16,132,Medium,60,43,172,Node-088
Data Processing,31,109,606,High,93,40,152,Node-089
ML Training,23,85,703,Critical,62,38,179,Node-090
Analytics,9,33,300,High,73,52,237,Node-091
Analytics,11,40,360,Medium,38,15,69,Node-092
Simulation,6,28,133,High,61,11,73,Node-093
Simulation,14,62,460,High,22,33,134,Node-094
Simulation,31,97,557,Medium,47,53,235,Node-095
Analytics,18,82,517,Medium,10,33,164,Node-096
ETL,2,16,271,Medium,25,19,84,Node-097
Data Processing,6,21,285,High,13,21,112,Node-098
ML Training,16,51,421,High,82,39,183,Node-099
ETL,6,30,431,Medium,55,44,186,Node-100
Data Processing,19,50,365,Medium,82,60,234,Node-001
ML Training,30,108,685,Medium,91,55,228,Node-002
ML Training,21,71,474,Low,68,39,159,Node-003
Simulation,2,19,198,High,44,58,256,Node-004
ML Training,16,47,409,Low,40,49,226,Node-005
ML Training,4,14,284,Medium,88,30,142,Node-006
Simulation,9,46,392,High,68,57,256,Node-007
ETL,25,91,549,Critical,70,25,109,Node-008
Simulation,12,59,376,Medium,87,59,248,Node-009
Simulation,5,23,161,Low,48,16,104,Node-010
Simulation,32,110,777,High,42,64,256,Node-011
ML Training,3,12,243,Low,7,51,226,Node-012
Analytics,7,31,206,Low,23,45,215,Node-013
Simulation,29,79,660,Medium,90,23,103,Node-014
Data Processing,20,64,534,Medium,24,40,174,Node-015
Analytics,9,36,183,Medium,59,13,100,Node-016
Simulation,32,89,882,Medium,73,58,250,Node-017
ETL,27,93,666,Medium,51,62,243,Node-018
Data Processing,28,84,715,Medium,15,57,256,Node-019
Data Processing,1,9,282,High,22,13,76,Node-020
ETL,21,68,461,Medium,29,23,106,Node-021
ML Training,23,81,658,Medium,63,29,135,Node-022
Analytics,4,2,143,Critical,56,54,230,Node-023
Analytics,23,60,681,Medium,15,45,214,Node-024
ML Training,2,17,114,Medium,28,18,111,Node-025
ML Training,32,109,937,Low,90,47,199,Node-026
ETL,20,68,520,Medium,43,49,233,Node-027
ML Training,32,95,802,Medium,37,58,241,Node-028
Data Processing,27,108,537,Low,28,33,149,Node-029
Data Processing,19,66,458,Low,45,19,104,Node-030
ETL,1,9,151,Low,29,30,130,Node-031
Simulation,25,88,568,High,92,9,16,Node-032
ML Training,8,28,253,Medium,41,55,235,Node-033
Data Processing,4,28,111,High,84,21,74,Node-034
Analytics,8,26,373,Critical,5,15,56,Node-035
Data Processing,21,70,570,Medium,79,38,166,Node-036
Data Processing,14,58,302,Medium,5,47,194,Node-037
Analytics,15,63,436,High,58,38,175,Node-038
Simulation,15,55,374,High,30,56,256,Node-039
Analytics,19,49,511,Critical,36,9,29,Node-040
Simulation,6,31,242,Medium,73,45,187,Node-041
Simulation,6,18,111,Medium,55,60,256,Node-042
Analytics,22,65,466,Medium,64,28,130,Node-043
Analytics,9,26,382,High,47,55,256,Node-044
Analytics,21,71,520,Medium,27,58,236,Node-045
ML Training,32,108,682,Medium,48,19,71,Node-046
Analytics,31,101,609,High,73,10,27,Node-047
Analytics,30,102,785,Critical,18,36,154,Node-048
Analytics,9,26,202,Medium,47,20,95,Node-049
ML Training,31,103,751,Low,47,38,199,Node-050
ML Training,29,92,781,Critical,24,50,217,Node-051
Analytics,6,24,155,Medium,70,44,193,Node-052
ETL,8,28,452,Medium,92,49,256,Node-053
Data Processing,12,35,310,Critical,30,21,71,Node-054
Data Processing,20,65,553,Low,91,46,207,Node-055
ETL,13,59,406,Critical,73,22,112,Node-056
ML Training,31,95,737,High,92,52,230,Node-057
Simulation,22,74,660,High,52,36,162,Node-058
Simulation,3,24,163,High,40,45,215,Node-059
Data Processing,31,116,834,Low,85,33,175,Node-060
Data Processing,15,53,437,High,31,23,152,Node-061
Simulation,31,95,746,Medium,12,31,135,Node-062
ML Training,20,77,483,High,12,21,77,Node-063
Data Processing,23,65,682,Medium,38,32,144,Node-064
ML Training,31,84,844,Critical,84,44,170,Node-065
Data Processing,1,13,196,Medium,92,37,149,Node-066
ETL,8,6,238,Medium,72,25,156,Node-067
Simulation,1,2,183,Medium,55,19,94,Node-068
Data Processing,17,53,488,High,61,31,143,Node-069
Data Processing,24,84,542,Low,64,52,246,Node-070
ML Training,11,37,496,Medium,12,41,179,Node-071
Data Processing,18,59,632,High,36,27,145,Node-072
Data Processing,13,42,488,High,77,37,146,Node-073
ETL,23,70,491,High,80,60,256,Node-074
Simulation,18,59,500,Medium,6,44,184,Node-075
Data Processing,17,50,483,Medium,42,33,171,Node-076
Simulation,8,30,189,High,57,29,138,Node-077
Data Processing,20,68,455,High,8,61,239,Node-078
Data Processing,8,43,10,Low,91,14,75,Node-079
Simulation,30,93,668,Low,22,64,256,Node-080
Analytics,31,93,769,Low,82,44,211,Node-081
Analytics,12,56,329,High,93,13,66,Node-082
Simulation,17,56,685,High,94,23,148,Node-083
ETL,18,63,485,High,6,37,144,Node-084
ETL,3,21,135,Low,42,59,256,Node-085
ML Training,1,20,209,High,25,37,188,Node-086
Analytics,12,31,414,High,46,38,219,Node-087
Data Processing,3,11,121,Medium,36,31,151,Node-088
ML Training,9,38,157,Low,35,26,113,Node-089
ETL,27,82,679,Medium,31,36,145,Node-090
ML Training,32,96,703,Low,70,39,165,Node-091
Simulation,30,91,579,Low,24,29,152,Node-092
Data Processing,16,73,315,Low,89,10,51,Node-093
ML Training,9,31,216,High,42,46,183,Node-094
Data Processing,31,116,767,High,71,23,76,Node-095
ETL,16,53,547,Critical,57,45,201,Node-096
Simulation,25,78,592,Medium,25,23,126,Node-097
Data Processing,27,95,655,High,7,55,243,Node-098
Analytics,23,85,487,Critical,24,36,175,Node-099
Simulation,30,105,716,High,73,12,69,Node-100
Simulation,14,50,409,High,41,60,228,Node-001
Data Processing,16,48,475,High,40,61,242,Node-002
Data Processing,23,85,544,High,27,48,212,Node-003
Analytics,15,54,448,Low,18,41,183,Node-004
Data Processing,27,98,677,Medium,69,36,143,Node-005
Data Processing,11,41,318,Low,13,35,154,Node-006
Analytics,17,61,475,Medium,28,63,256,Node-007
ETL,9,18,332,Medium,21,11,76,Node-008
Analytics,21,59,490,Medium,56,46,213,Node-009
ML Training,21,70,531,High,65,58,256,Node-010
Data Processing,11,16,425,High,84,35,160,Node-011
Data Processing,17,61,386,Low,91,11,42,Node-012
Analytics,14,46,417,Medium,58,18,107,Node-013
ETL,1,5,77,Medium,36,12,31,Node-014
ETL,30,94,647,High,57,30,113,Node-015
ML Training,6,35,305,Low,66,15,75,Node-016
Data Processing,27,76,774,Medium,90,42,199,Node-017
Data Processing,19,85,402,Medium,32,34,160,Node-018
ETL,18,61,421,Medium,7,19,99,Node-019
ML Training,28,93,593,Low,52,41,163,Node-020
ML Training,9,26,235,Low,84,24,125,Node-021
Data Processing,10,15,427,Low,53,31,120,Node-022
Analytics,5,24,208,Low,50,54,227,Node-023
Data Processing,17,49,460,Low,66,28,126,Node-024
Data Processing,16,40,440,High,34,58,246,Node-025
ML Training,17,58,359,Low,45,25,118,Node-026
ETL,8,25,372,Medium,36,37,136,Node-027
ML Training,15,28,513,High,93,55,219,Node-028
Analytics,20,63,461,Medium,14,38,163,Node-029
Data Processing,16,67,403,Medium,89,58,222,Node-030
ML Training,18,39,803,Low,20,54,210,Node-031
Data Processing,19,66,554,High,50,53,239,Node-032
Simulation,4,5,145,Medium,90,52,235,Node-033
Simulation,21,64,440,Medium,67,61,256,Node-034
ETL,9,42,369,Medium,56,48,217,Node-035
Simulation,7,10,312,Medium,49,8,54,Node-036
Analytics,17,64,571,Medium,19,52,211,Node-037
